year,mmsi,fishing_hours_mpa_1,fishing_hours_mpa_2,fishing_hours_mpa_3,fishing_hours_mpa_4,fishing_hours_mpa_5,fishing_hours_mpa_6,fishing_hours_mpa_7,fishing_hours_mpa_8,fishing_hours_mpa_10,fishing_hours_mpa_11,fishing_hours_mpa_12,fishing_hours_mpa_13,fishing_hours_mpa_14
2014,701000509,1.562638888888889,1.562638888888889,417.67,0,0,0,0,0,0,0,0,0,0
2014,701000511,5.928194444444444,5.928194444444444,191.63680555555555,3.1734722222222222,0,0,0,0,0,30.953055555555554,30.953055555555554,0,0
2014,701000512,0,0,983.0047222222222,0,0,0,0,0,0,0,0,0,0
2014,701000515,0,0,0,0,0,0,0,0,234.97555555555556,445.78875,297.25555555555553,0,0
2014,701000516,0,0,0,0,0,0,0,0,198.15333333333334,273.145,138.7625,0,0
2014,701000517,0,0,226.9688888888889,6.402916666666666,0,0,0,0,0,0,0,0,0
2014,701000528,0,0,0,0,0,0,0,0,170.56819444444443,16.951944444444443,15.35361111111111,0,0
2014,701000529,0,0,379.36541666666665,12.71513888888889,0,0,0,0,0,15.399166666666666,15.399166666666666,0,0
2014,701000531,0,0,258.2726388888889,0,0,0,0,0,0,13.150833333333333,13.150833333333333,0,0
2014,701000535,0,0,15.540277777777776,1.9441666666666666,0,0,0,0,0,0,0,0,0
2014,701000537,0,0,270.67861111111114,1.5172222222222222,0,0,0,0,0,96.5038888888889,0,0,0
2014,701000539,0,0,0,0,0,0,0,0,29.038055555555555,331.3425,230.1148611111111,0,0
2014,701000543,0,0,39.42875,0,0,0,0,0,0,1.2318055555555556,0,0,0
2014,701000545,0,0,111.9661111111111,0,0,0,0,0,0,0,0,0,0
2014,701000546,0,0,0,0,0,0,0,0,90.08305555555556,236.25916666666666,98.69805555555556,0,0
2014,701000547,0,0,81.80041666666666,10.932083333333335,0,0,0,0,0,0,0,0,0
2014,701000549,0,0,0,0,0,0,0,0,153.59652777777777,268.14972222222224,94.11902777777777,0,0
2014,701000550,0,0,0,0,0,0,0,0,90.33138888888888,277.7961111111111,139.45180555555555,0,0
2014,701000551,0,0,194.14236111111111,0,0,0,0,0,0,0,0,0,0
2014,701000553,0,0,0,0,0,0,0,0,146.4451388888889,125.75069444444445,57.999583333333334,0,0
2014,701000561,0,0,0,0,0,0,0,0,134.99166666666667,0.16819444444444445,0,0,0
2014,701000562,0,0,0,0,0,0,0,0,81.48291666666667,125.12944444444445,50.40902777777778,0,0
2014,701000564,0,0,18.891388888888887,0,0,0,0,0,0,0,0,0,0
2014,701000577,0,0,1169.8372222222222,961.0643055555555,0,0,0,0,0,0,0,0,0
2014,701000578,0,0,109.5898611111111,6.887777777777777,0,0,0,0,0,0,0,0,0
2014,701000580,0,0,0,0,0,0,0,0,135.12944444444443,78.90375,31.363055555555555,0,0
2014,701000583,0,0,212.68319444444444,0,0,0,0,0,0,0,0,0,0
2014,701000585,0,0,0,0,0,0,0,0,400.83486111111114,0,0,0,0
2014,701000591,0,0,612.9091666666667,4.045694444444444,0,0,0,0,0,71.05875,71.05875,0,0
2014,701000596,0,0,33.2875,0,0,0,0,0,0,0,0,0,0
2014,701000607,0,0,0,0,0,0,0,0,214.74291666666667,306.42791666666665,140.10472222222222,0,6.226527777777778
2014,701000612,0,0,0,0,0,0,0,0,146.17472222222221,867.9686111111112,587.4969444444445,0,0
2014,701000619,0,0,0,0,0,0,0,0,412.38125,289.71555555555557,166.42694444444444,0,0
2014,701000620,0,0,1189.9330555555555,626.4486111111111,0,0,0,0,0,0,0,0,0
2014,701000623,0,0,48.38638888888889,0,0,0,0,0,0,0,0,0,0
2014,701000626,0,0,0,0,0,0,0,0,144.06527777777777,247.85916666666668,102.69222222222223,0,0
2014,701000627,0,0,0,0,24.839583333333334,1841.1876388888888,22.41777777777778,243.2176388888889,0,0,0,0,0
2014,701000628,1.5999999999999999,1.5999999999999999,828.0891666666666,0.6969444444444444,0,0,0,0,0,6.484583333333333,0,0,0
2014,701000629,0,1.5372222222222223,272.2734722222222,0,0,0,0,0,1.2715277777777778,0,0,0,0
2014,701000631,0,7.9504166666666665,35.650416666666665,0,0,0,0,0,0,0,0,0,0
2014,701000632,0,0,95.98347222222223,0,0,0,0,0,0,0,0,0,0
2014,701000636,0,0,138.48527777777778,0,0,0,0,0,0,0,0,0,0
2014,701000639,0,0,0,0,0,0,0,0,201.0251388888889,361.325,183.1484722222222,0,0
2014,701000642,0,0,0,0,0,0,0,0,110.71236111111111,227.63611111111112,125.88430555555556,0,0
2014,701000645,0,0,0,0,0,0,0,0,271.4456944444444,239.85708333333332,117.30972222222222,0,0
2014,701000646,0,0,0,0,0,0,0,0,207.4572222222222,241.8048611111111,124.83319444444444,0,0
2014,701000649,0,0,0,0,0,0,0,0,144.40777777777777,300.6376388888889,142.8409722222222,0,0
2014,701000651,0,0,0,0,0,0,0,0,60.75013888888889,190.89055555555555,64.50097222222222,0,0
2014,701000652,0,0,0,0,0,0,0,0,198.15277777777777,346.6308333333333,192.02527777777777,0,0
2014,701000658,0,0,0,0,0,0,0,0,172.895,504.4075,219.8401388888889,0,0
2014,701000660,0,0,0,0,0,0,0,0,47.19416666666667,498.68097222222224,268.06652777777776,0,0
2014,701000662,0,0,0,0,0,0,0,0,154.84319444444444,361.4244444444444,131.86,0,0
2014,701000663,0,0,125.54458333333334,0,0,0,0,0,0,0,0,0,0
2014,701000666,0,0,0,0,0,0,0,0,139.76430555555555,519.6958333333333,311.5966666666667,0,0
2014,701000667,4.545972222222222,4.545972222222222,286.8338888888889,0,0,0,0,0,0,0,0,0,0
2014,701000668,0,0,0,0,0,0,0,0,242.52027777777778,218.30791666666667,68.71041666666666,0,0
2014,701000672,0,0,147.94361111111112,0,0,0,0,0,0,0,0,0,0
2014,701000674,0,44.74458333333333,58.357083333333335,0,0,0,0,0,0,0,0,0,0
2014,701000680,0,31.03097222222222,15.096805555555557,0,0,0,0,0,0,0,0,0,0
2014,701000681,0,40.26916666666666,51.844861111111115,0,0,0,0,0,0,0,0,0,0
2014,701000686,0,0,0,0,0,0,0,0,171.15083333333334,266.8855555555556,95.40125,0,0
2014,701000687,0,0,0,0,0,0,0,0,110.85111111111111,305.4651388888889,153.71958333333333,0,0
2014,701000689,0,0,6.200694444444444,0,0,0,0,0,0,0,0,0,0
2014,701000708,0,0,0,0,0,0,0,0,123.15416666666667,246.32958333333335,50.775416666666665,0,0
2014,701000713,0,134.76555555555555,122.59958333333333,199.21138888888888,302.65166666666664,81.85555555555555,5.881666666666667,403.67305555555555,0,0,0,0,0
2014,701000717,0,0,57.00430555555556,0,0,0,0,0,0,0,0,0,0
2014,701000720,0,0,0,0,0,0,0,0,58.12875,225.98833333333334,76.95902777777778,0,0
2014,701000725,0,0,0,0,0,0,0,0,0,10.880972222222223,0,0,0
2014,701000729,0,0,0,0,0,0,0,0,210.51055555555556,272.4665277777778,173.11055555555555,0,0
2014,701000732,0,0,465.41291666666666,10.598749999999999,0,0,0,0,0,0,0,0,0
2014,701000735,0,0,418.45875,4.952361111111111,0,106.84958333333333,1.5637500000000002,0,0,0,0,0,0
2014,701000742,0,0,0,0,0,0,0,0,161.09319444444444,314.0375,160.4711111111111,0,0
2014,701000743,0,0,80.69083333333333,17.809444444444445,0,0,0,0,0,0,0,0,0
2014,701000745,0,0,0,0,0,0,0,0,57.24208333333333,108.36111111111111,93.59472222222222,0,0
2014,701000753,0,0,0,0,0,0,0,0,484.01652777777775,334.87194444444447,263.06625,0,0
2014,701000755,0,0,115.56541666666666,0,0,0,0,0,0.9897222222222222,59.92125,59.92125,0,0
